Raw	City	Country	Region	Coords
Dollis s Farm, near Hendon, London, Greater London, England	Dollis s Farm, near Hendon, London	England	Greater London	51.5837, -0.2252
Wootton, near Ashbourne, Derbyshire, England	Wootton, near Ashbourne	England	Derbyshire	53.0167, -1.7167
Portobelo, province of Colón, Panama	Portobelo	Panama	province of Colón	9.54995000,-79.65508000
Piacenza, Emilia-Romagna, Italy	Piacenza	Italy	Emilia-Romagna	45.0483333333, 9.68583333333
Wolfenbüttel, Lower Saxony, Germany	Wolfenbüttel	Germany	Lower Saxony	52.1622222222, 10.5369444444
Monriond, near Lausanne, canton of Vaud, Switzerland	Monriond, near Lausanne	Switzerland	canton of Vaud	46.516,6.63282
Sevres?, Hauts-de-Seine, France	Sevres?	France	Hauts-de-Seine	48.8167, 2.2167
Quebec, Quebec, Canada	Quebec	Canada	Quebec	46.890232, -71.218872
Dorking, Surrey, England	Dorking	England	Surrey	51.2330637906, -0.329847335815
near Magdeburg, Saxony-Anhalt, Germany	near Magdeburg	Germany	Saxony-Anhalt	52.16667,11.66667
Kherson, Kherson province, Greece	Kherson	Greece	Kherson province	46.6538888889, 32.5994444444
Belvoir Castle, Leicestershire, England	Belvoir Castle	England	Leicestershire	52.8833, -0.7833
Nîmes, Gard, France	Nîmes	France	Gard	43.8366666667, 4.36027777778
Lees, Essex, England	Lees	England	Essex	53.5389, -2.0696
Windmill Hill, London, Greater London, England	Windmill Hill, London	England	Greater London	51.508411, -0.125364
Aston, near Sheffield, Yorkshire, England	Aston, near Sheffield	England	Yorkshire	53.3833333333, -1.46666666667
Thurcaston, Leicestershire, England	Thurcaston	England	Leicestershire	52.6833, -1.15
Ussé, Indre-et-Loire, France	Ussé	France	Indre-et-Loire	47.2530555556, 0.3
Caen, Calvados, France	Caen	France	Calvados	49.18436000,-0.36111000
Marly-le-Roi, Yvelines, France	Marly-le-Roi	France	Yvelines	48.8675, 2.094722
Rochford, Essex, England	Rochford	England	Essex	51.5821, 0.7065
Neuchâtel?, canton of Neuchâtel, Switzerland	Neuchâtel?	Switzerland	canton of Neuchâtel	46.9902777778, 6.93055555556
Mirecourt, Vosges, France	Mirecourt	France	Vosges	48.2833, 6.1333
Damgarten/Ribnitz-Damgarten, Mecklenburg-Vorpommern, Germany	Damgarten/Ribnitz-Damgarten	Germany	Mecklenburg-Vorpommern	54.2465722296, 12.4262237549
Latimer, Buckinghamshire, England	Latimer	England	Buckinghamshire	51.68528, -0.54764
Lumigny, Seine-et-Marne, France	Lumigny	France	Seine-et-Marne	48.7372, 2.9525
Lierre/Lier, province of Antwerp, Belgium	Lierre/Lier	Belgium	province of Antwerp	51.1166666667, 4.58333333333
near Greenwich, Kent, England	near Greenwich	England	Kent	51.47885, -0.0106
Whitchurch, Hampshire, England	Whitchurch	England	Hampshire	51.2299, -1.3393
Princeton, New Jersey, United States of America	Princeton	United States of America	New Jersey	40.3487181, -74.6590472
Portsmouth, Virginia, United States of America	Portsmouth	United States of America	Virginia	36.8354258, -76.2982742
Chambéry, Savoie, France	Chambéry	France	Savoie	45.56665000,5.92092000
Hamelin, Hanover, Germany	Hamelin	Germany	Hanover	52.103056, 9.36
Fort Coulonge, Québec, Canada	Fort Coulonge	Canada	Québec	45.8426, -76.7373
château de Grand-Cour, near Berne, canton of Bern, Switzerland	château de Grand-Cour, near Berne	Switzerland	canton of Bern	46.95, 7.44583333333
Yeovil, Somerset, England	Yeovil	England	Somerset	50.9452, -2.637
Chard, Somerset, England	Chard	England	Somerset	50.8728, -2.9587
Ganges, Hérault, France	Ganges	France	Hérault	43.93409000,3.70805000
Boulogne-sur-Mer, Pas-de-Calais, France	Boulogne-sur-Mer	France	Pas-de-Calais	50.7222222222, 1.60833333333
Tournon-sur-Rhône, Ardèche, France	Tournon-sur-Rhône	France	Ardèche	45.0680555556, 4.83333333333
Prague, Bohemia, Czech Republic	Prague	Czech Republic	Bohemia	50.083333, 14.416667
Vichy, Allier, France	Vichy	France	Allier	46.1667, 3.4
Old Windsor, Berkshire, England	Old Windsor	England	Berkshire	51.4601, -0.5865
Jamaica, Greater Antilles		Greater Antilles	Jamaica	18.1314940972, -77.2735576389
Great Yarmouth, Norfolk, England	Great Yarmouth	England	Norfolk	52.606, 1.729
Dinero Lodge, near Crieff, Perth and Kinross, Scotland	Dinero Lodge, near Crieff	Scotland	Perth and Kinross	56.37568, -3.84262
Rye, Dallington, Sussex, England	Rye, Dallington	England	Sussex	50.947116, 0.357868
L'Isle-Jourdain, Gers, France	L'Isle-Jourdain	France	Gers	43.6144444444, 1.08166666667
Rennes, Ille-et-Vilaine, France	Rennes	France	Ille-et-Vilaine	48.10752000,-1.68448000
Frederick, Maryland, United States of America	Frederick	United States of America	Maryland	39.4142, -77.4108
Chichester, Sussex, England	Chichester	England	Sussex	50.8371668785, -0.780372619629
Eartham, near Chichester, Sussex, England	Eartham, near Chichester	England	Sussex	50.8667, -0.6833
Esteville, Seine-Maritime, France	Esteville	France	Seine-Maritime	49.6066666667, 1.2225
Bilton, Rugby, Warwickshire, England	Bilton, Rugby	England	Warwickshire	52.3639, -1.2887
near Wassy, Haute-Marne, France	near Wassy	France	Haute-Marne	48.5, 4.95
Savannah, Georgia, United States of America	Savannah	United States of America	Georgia	32.05071, -81.103762
Karlstad, Värmland County, Sweden	Karlstad	Sweden	Värmland County	59.3783377689, 13.5056304932
Cambridge, Massachusetts, United States of America	Cambridge	United States of America	Massachusetts	38.5631, -76.0792
Kilduff, near Haddington, East Lothian, Scotland	Kilduff, near Haddington	Scotland	East Lothian	55.955621, -2.778815
Riquewihr, Haut-Rhin, France	Riquewihr	France	Haut-Rhin	48.1672222222, 7.29777777778
Calne, Wiltshire, England	Calne	England	Wiltshire	51.4353, -2.00427
The Cumbraes, Ayrshire, Scotland	The Cumbraes	Scotland	Ayrshire	55.7680555556, -4.92027777778
Freiberg, Saxony, Germany	Freiberg	Germany	Saxony	50.91667,13.36667
Hothfield, Kent, England	Hothfield	England	Kent	51.1701, 0.819
Schwetzingen, Baden-Württemberg, Germany	Schwetzingen	Germany	Baden-Württemberg	49.38568000,8.57064000
Kholm, Novgorod province, Russia	Kholm	Russia	Novgorod province	57.15, 31.1833
Heston, London, Greater London, England	Heston, London	England	Greater London	51.4852, -0.3788
Portsea, Portsmouth, Hampshire, England	Portsea, Portsmouth	England	Hampshire	50.79891, -1.10639
Glasnevin, Dublin, county Dublin, Ireland	Glasnevin, Dublin	Ireland	county Dublin	53.3833333333, -6.26666666667
Korsör, Slagelse, Sjælland, Denmark	Korsör, Slagelse	Denmark	Sjælland	55.3333333333, 11.15
Lewes, Sussex, England	Lewes	England	Sussex	50.8744445736, 0.0175094604492
Netherlands		Netherlands		52.10808900,5.33033000
Épernay, Marne, France	Épernay	France	Marne	49.0427777778, 3.96472222222
Swaffham Bulbeck, near Newmarket, Cambridgeshire, England	Swaffham Bulbeck, near Newmarket	England	Cambridgeshire	52.23, 0.28
Colombes, Paris, Ile-de-France, France	Colombes, Paris	France	Ile-de-France	48.9231, 2.255
Rimini, Emilia-Romagna, Italy	Rimini	Italy	Emilia-Romagna	44.05000000,12.56670000
Paris, Ile-de-France, France	Paris	France	Ile-de-France	48.85667000,2.35099000
Cork, County Cork, Ireland	Cork	Ireland	County Cork	51.9, -8.47305555556
Augusta, Georgia, United States of America	Augusta	United States of America	Georgia	33.4708, -81.975
Haverhill, Massachusetts, United States of America	Haverhill	United States of America	Massachusetts	42.7761, -71.0778
Fair Hill, Virginia, United States of America	Fair Hill	United States of America	Virginia	37.3954257, -77.3297015
Valeire, Bern, canton of Bern, Switzerland	Valeire, Bern	Switzerland	canton of Bern	46.95, 7.44583333333
Iasi, Moldavia, Romania	Iasi	Romania	Moldavia	47.1555555556, 27.5913888889
Sutton, London, Greater London, England	Sutton, London	England	Greater London	51.3656, -0.1963
Burstead, Essex, England	Burstead	England	Essex	51.604, 0.445
Ludwigsburg, Baden-Württemberg, Germany	Ludwigsburg	Germany	Baden-Württemberg	48.899032365, 9.19384002686
Great Barton, Suffolk, England	Great Barton	England	Suffolk	52.2667, 0.7667
Bercy, Paris, Ile-de-France, France	Bercy, Paris	France	Ile-de-France	48.8361111111, 2.38333333333
Durdans, Epsom, Surrey, England	Durdans, Epsom	England	Surrey	51.3297535623, -0.268821716309
Sherborne, Dorset, England	Sherborne	England	Dorset	50.9491, -2.5183
Langon, Gironde, France	Langon	France	Gironde	44.5538888889, -0.248333333333
Hornoy-le-Bourg, Somme, France	Hornoy-le-Bourg	France	Somme	49.85,1.9
Warsaw, Masovia, Poland	Warsaw	Poland	Masovia	52.23535000,21.00936000
Dublin, County Dublin, Ireland	Dublin	Ireland	County Dublin	53.3428, -6.2661
Whitton, Twickenham, Greater London, England	Whitton, Twickenham	England	Greater London	51.4486, -0.3369
Bellefosse, Bas-Rhin, France	Bellefosse	France	Bas-Rhin	48.40265,7.2141
Towcester, Northamptonshire, England	Towcester	England	Northamptonshire	52.13, -0.99
Yverdon-les-Bains, canton of Vaud, Switzerland	Yverdon-les-Bains	Switzerland	canton of Vaud	46.7788888889, 6.64
Maryland, United States of America		United States of America	Maryland	39.0616685311, -76.7854797575
Newport Pagnell, Buckinghamshire, England	Newport Pagnell	England	Buckinghamshire	52.087, -0.722
Buenos Aires, county of Buenos Aires, Argentina	Buenos Aires	Argentina	county of Buenos Aires	-34.6036, -58.3817
Lamberville, Normandie, France	Lamberville	France	Normandie	49.7730555556, 1.00194444444
Nienhuys, near Zwolle, Overijssel, Netherlands	Nienhuys, near Zwolle	Netherlands	Overijssel	52.5125, 6.08861111111
Montreal, Quebec, Canada	Montreal	Canada	Quebec	45.5080555556, -73.555
Deepdene, Dorking, Surrey, England	Deepdene, Dorking	England	Surrey	51.2330637906, -0.329847335815
Manchester, county of Manchester, England	Manchester	England	county of Manchester	53.48, -2.24
Les Délices, near Geneva, canton of Geneva, France	Les Délices, near Geneva	France	canton of Geneva	46.2, 6.15
Altenburg, Thuringia, Germany	Altenburg	Germany	Thuringia	50.9930144098, 12.4437332153
Beauvais, Oise, France	Beauvais	France	Oise	49.4333333333, 2.08333333333
Ambérieu en Bugey, Rhône, France	Ambérieu en Bugey	France	Rhône	45.9589, 5.3586
Pimperne, Dorset, England	Pimperne	England	Dorset	50.8833, -2.1333
Marseille, Bouches-du-Rhône, France	Marseille	France	Bouches-du-Rhône	43.2975, 5.3772
Buckden, Cambridgeshire, England	Buckden	England	Cambridgeshire	52.28, -0.25
Corzier, near Vevey, canton of Vaud, Switzerland	Corzier, near Vevey	Switzerland	canton of Vaud	46.2, 6.15
Wimpole, near Cambridge, Cambridgeshire, England	Wimpole, near Cambridge	England	Cambridgeshire	52.14, -0.046
Bern, canton of Bern, Switzerland	Bern	Switzerland	canton of Bern	46.95000000,7.43330000
Dole, Jura, France	Dole	France	Jura	47.0919812, 5.49264907837
Brighton, Sussex, England	Brighton	England	Sussex	50.83, -0.155555555556
Bassy, Haute-Savoie, France	Bassy	France	Haute-Savoie	45.9816666667, 5.83027777778
Harwich, Essex, England	Harwich	England	Essex	51.9396086967, 1.2833404541
Sérézin-du-Rhône, Rhône, France	Sérézin-du-Rhône	France	Rhône	45.6294444444, 4.82472222222
Plymouth, Devon, England	Plymouth	England	Devon	50.3705555556, -4.13972222222
Eton, Berkshire, England	Eton	England	Berkshire	51.4906827146, -0.609569549561
Le Havre, Seine-Maritime, France	Le Havre	France	Seine-Maritime	49.4997222222, 0.12
St-Denis, St-Denis de la Réunion, Réunion	St-Denis	Réunion	St-Denis de la Réunion	-20.85, 55.4666666667
Blois, Loir-et-Cher, France	Blois	France	Loir-et-Cher	47.60000000,1.33330000
Monquin, near Bourgoin-Jallieu, Dauphiné, France	Monquin, near Bourgoin-Jallieu	France	Dauphiné	45.7669, 4.8342
Fulham, Greater London, England	Fulham	England	Greater London	51.4767, -0.2138
Vosges, France		France	Vosges	48.16667,6.33333
Cannons, Edgware, Greater London, England	Cannons, Edgware	England	Greater London	51.6093, -0.2884
Somerford, Cheshire, England	Somerford	England	Cheshire	53.1666666667, -2.26666666667
Sedgefield, county Durham, England	Sedgefield	England	county Durham	54.65, -1.45
Berlin, state of Berlin, Germany	Berlin	Germany	state of Berlin	52.51607000,13.37699000
Port-Louis, Port-Louis district, Mauritius	Port-Louis	Mauritius	Port-Louis district	-20.1667, 57.5
Enfield, London, England	Enfield	England	London	51.6, -0.0833
Berkhamsted, Hertfordshire, England	Berkhamsted	England	Hertfordshire	51.7592, -0.5627
Witcham, Cambridgeshire, England	Witcham	England	Cambridgeshire	52.3833, -0.1333
Petersburg, Virginia, United States of America	Petersburg	United States of America	Virginia	37.213, -77.4004
near Plombières-les-Bains, Vosges, France	near Plombières-les-Bains	France	Vosges	47.9672222222, 6.46388888888
Barbados		Barbados		13.1594328042, -59.5299626984
Navan, county Meath, Ireland	Navan	Ireland	county Meath	53.65, -6.6833
Mapledurham, Oxfordshire, England	Mapledurham	England	Oxfordshire	51.4853, -1.0379
Buckland Filleigh, Devon, England	Buckland Filleigh	England	Devon	50.8619444444, -4.18611111111
Juilly, Seine-et-Marne, France	Juilly	France	Seine-et-Marne	49.0133, 2.705
Loughrea, County Galway, Ireland	Loughrea	Ireland	County Galway	53.1969, -8.5669
Montfort-l'Amaury, Yvelines, France	Montfort-l'Amaury	France	Yvelines	48.7778, 1.81
Colmar, Haut-Rhin, France	Colmar	France	Haut-Rhin	48.08330000,7.35000000
Zerbst, Saxony-Anhalt, Germany	Zerbst	Germany	Saxony-Anhalt	51.96713000,12.08471000
Wrexham, Denbighshire, Wales	Wrexham	Wales	Denbighshire	53.0333333333, -2.98333333333
Argenteuil, near Paris, Val-d'Oise, France	Argenteuil, near Paris	France	Val-d'Oise	48.9486, 2.2483
Geneken, near Breda, North Brabant, Netherlands	Geneken, near Breda	Netherlands	North Brabant	51.5902777778, 4.7725
York, Pennsylvania, United States of America	York	United States of America	Pennsylvania	39.9625, -76.7281
Wiltshire, England		England	Wiltshire	51.3197, -2.2089
Hingham, Massachusetts, United States of America	Hingham	United States of America	Massachusetts	42.2417, -70.8903
Rueil, Paris, Ile-de-France, France	Rueil, Paris	France	Ile-de-France	48.8833333333, 2.16666666667
Chemnitz, Saxony, Germany	Chemnitz	Germany	Saxony	50.8333333333, 12.9166666667
Annemasse, Haute-Savoie, France	Annemasse	France	Haute-Savoie	46.19439,6.23775
North Merchiston, Edinburgh, county of Edinburgh, Scotland	North Merchiston, Edinburgh	Scotland	county of Edinburgh	55.936, -3.2117
Hohenheim, Baden-Württemberg, Germany	Hohenheim	Germany	Baden-Württemberg	48.7154309443, 9.22508239746
Kamienna Góra, Silesia, Poland	Kamienna Góra	Poland	Silesia	50.7833333333, 16.0333333333
Montiers, Oise, France	Montiers	France	Oise	49.5013888889, 2.57861111111
château de Tournebu, near Gaillon, Normandie, France	château de Tournebu, near Gaillon	France	Normandie	48.9667, -0.3333
Shawford, near Winchester, Hampshire, England	Shawford, near Winchester	England	Hampshire	51.023255, -1.329079
Buxton Wells, Derbyshire, England	Buxton Wells	England	Derbyshire	53.259, -1.911
Chiddingstone Sevenoaks, Kent, England	Chiddingstone Sevenoaks	England	Kent	51.18609, 0.14845
Langres, Haute-Marne, France	Langres	France	Haute-Marne	47.8633333333, 5.33388888889
Long Bredy, Dorset, England	Long Bredy	England	Dorset	50.7167, -2.6167
Ramsgate, Kent, England	Ramsgate	England	Kent	51.34391, 1.40403
Underwood, near Plymouth, Devon, England	Underwood, near Plymouth	England	Devon	50.3705555556, -4.13972222222
Bishopthorpe, near York, Yorkshire, England	Bishopthorpe, near York	England	Yorkshire	53.918722, -1.100807
Athabasca, Alberta, Canada	Athabasca	Canada	Alberta	54.7190682197, -113.281745911
Scotstoun, Glasgow, county of Glasgow, Scotland	Scotstoun, Glasgow	Scotland	county of Glasgow	55.879, -4.346
Falun, Dalarna County, Sweden	Falun	Sweden	Dalarna County	60.6, 15.6333
Walton on Thames, Surrey, England	Walton on Thames	England	Surrey	51.3842094913, -0.41748046875
Little Gaddesden, Herts, England	Little Gaddesden	England	Herts	51.8, -0.55
Deptford, Greater London, England	Deptford	England	Greater London	51.478, -0.0265
Ponte Piccolo, near Istanbul, province of Istanbul, Turkey	Ponte Piccolo, near Istanbul	Turkey	province of Istanbul	41.0128067289, 28.9743804932
Greenwich, London, Greater London, England	Greenwich, London	England	Greater London	51.47885, -0.0106
Douai, Nord, France	Douai	France	Nord	50.3713888889, 3.08
Orgelet, Franche Comté, France	Orgelet	France	Franche Comté	46.5230555556, 5.61111111111
Nuneham Courtnay, Oxfordshire, England	Nuneham Courtnay	England	Oxfordshire	51.6782, -1.2204
Andover, Hampshire, England	Andover	England	Hampshire	51.2167, -1.4667
Champteloup, Touraine, France	Champteloup	France	Touraine	47.391111,0.970278
Château de Sceaux, Hauts-de-Seine, France	Château de Sceaux	France	Hauts-de-Seine	48.7744, 2.3
Charleville-Mézières, Ardennes, France	Charleville-Mézières	France	Ardennes	49.7719, 4.7161
Budapest, county of Budapest, Hungary	Budapest	Hungary	county of Budapest	47.5, 19.05
Dresden, Saxony, Germany	Dresden	Germany	Saxony	51.05365000,13.74082000
Moyenvic, Moselle, France	Moyenvic	France	Moselle	48.7780555556, 6.56305555556
Château de Maison-Maugis, near Rémalard, Orne, France	Château de Maison-Maugis, near Rémalard	France	Orne	48.4297222222, 0.773333333333
Chertsey, Surrey, England	Chertsey	England	Surrey	51.3902, -0.5074
Londesborough, Yorkshire, England	Londesborough	England	Yorkshire	53.898491, -0.679446
South Wales, Wales		Wales	South Wales	51.6833333333, -3.38333333333
Loughborough, Leicestershire, England	Loughborough	England	Leicestershire	52.7705, -1.2046
Montrichard, Loir-et-Cher, France	Montrichard	France	Loir-et-Cher	47.34279000,1.18729000
Falmouth, Maine, United States of America	Falmouth	United States of America	Maine	43.7294, -70.2425
Gothenburg/Göteborg, Västra Götalands County, Sweden	Gothenburg/Göteborg	Sweden	Västra Götalands County	57.6967, 11.9869
Hartford, Connecticut, United States of America	Hartford	United States of America	Connecticut	41.7636, -72.6856
Kingsland, London, Greater London, England	Kingsland, London	England	Greater London	52.25, -2.8
Rottingdean, near Brighton, Sussex, England	Rottingdean, near Brighton	England	Sussex	50.815, -0.065
St-Marcel-d'Ardèche, Ardèche, France	St-Marcel-d'Ardèche	France	Ardèche	44.3283333333, 4.61777777778
Bogotá, DC, Colombia	Bogotá	Colombia	DC	4.598056, -74.075833
Monmouth, Monmouthshire, Wales	Monmouth	Wales	Monmouthshire	51.8126477605, -2.71327972412
Beaufort, South Carolina, United States of America	Beaufort	United States of America	South Carolina	32.4314, -80.67
St-Georges-l'Abbaye, near Rouen, Seine-Maritime, France	St-Georges-l'Abbaye, near Rouen	France	Seine-Maritime	49.4433333333, 1.09583333333
Powerscourt, near Bray, county Wicklow, Ireland	Powerscourt, near Bray	Ireland	county Wicklow	53.2028, -6.1083
Halle, Saxony-Anhalt, Germany	Halle	Germany	Saxony-Anhalt	51.28, 11.58
Portsmouth, Hampshire, England	Portsmouth	England	Hampshire	50.80401000,-1.08728400
Liancourt, Oise, France	Liancourt	France	Oise	49.3316666667, 2.46611111111
Sweden		Sweden		59.2684932684, 15.7590592807
Milan, Lombardy, Italy	Milan	Italy	Lombardy	45.46895000,9.18103000
Dammarie-lès-Lys, near Melun, Seine-et-Marne, France	Dammarie-lès-Lys, near Melun	France	Seine-et-Marne	48.5177777778, 2.64027777778
near Newquay, Cornwall, England	near Newquay	England	Cornwall	50.412, -5.0757
Prince Edward County, Virginia, United States of America	Prince Edward County	United States of America	Virginia	37.25, -78.4294
Youghal, County Cork, Ireland	Youghal	Ireland	County Cork	51.9527294269, -7.84767150879
Scarcliffe, Derbyshire, England	Scarcliffe	England	Derbyshire	53.213, -1.26
Farnham, Surrey, England	Farnham	England	Surrey	51.2, -0.79
South Carolina, United States of America		United States of America	South Carolina	34.0033149514, -81.0592258065
near London, Greater London, England	near London	England	Greater London	51.50633000,-0.12714000
Wimpole, Cambridgeshire, England	Wimpole	England	Cambridgeshire	52.14, -0.046
Nizhny Tagil, Sverdlovsk province, Russia	Nizhny Tagil	Russia	Sverdlovsk province	57.9333333333, 60.0
Scotland		Scotland		55.93632000,-3.16568900
Totnes, Devon, England	Totnes	England	Devon	50.43216, -3.68391
Strathaven, Lanarkshire, Scotland	Strathaven	Scotland	Lanarkshire	55.6666666667, -4.06666666667
